Date,Price,Open,High,Low,Vol.,Change %
08/05/2020,5700.0,5550.0,5700.0,5450.0,66920000.0,2.24%
08/04/2020,5575.0,5525.0,5600.0,5450.0,44590000.0,1.36%
08/03/2020,5500.0,5850.0,5875.0,5450.0,129860000.00000001,-5.17%
07/30/2020,5800.0,5725.0,5800.0,5625.0,26320000.0,1.75%
07/29/2020,5700.0,5850.0,5850.0,5675.0,34870000.0,-2.56%
07/28/2020,5850.0,5900.0,6000.0,5775.0,37260000.0,-0.43%
07/27/2020,5875.0,5625.0,5875.0,5550.0,29420000.0,4.91%
07/24/2020,5600.0,5700.0,5700.0,5550.0,33299999.999999996,-1.75%
07/23/2020,5700.0,5475.0,5775.0,5425.0,72910000.0,5.07%
07/22/2020,5425.0,5375.0,5525.0,5300.0,59620000.0,2.36%
07/21/2020,5300.0,5150.0,5450.0,5075.0,72530000.0,3.92%
07/20/2020,5100.0,5175.0,5225.0,5050.0,26060000.0,-1.45%
07/17/2020,5175.0,5275.0,5300.0,5175.0,30090000.0,-1.90%
07/16/2020,5275.0,5275.0,5350.0,5250.0,21930000.0,0.00%
07/15/2020,5275.0,5350.0,5425.0,5250.0,30380000.0,-0.47%
07/14/2020,5300.0,5300.0,5325.0,5200.0,39130000.0,0.95%
07/13/2020,5250.0,5250.0,5325.0,5225.0,36340000.0,1.45%
07/10/2020,5175.0,5250.0,5275.0,5125.0,38930000.0,-1.43%
07/09/2020,5250.0,5350.0,5400.0,5200.0,49140000.0,-0.47%
07/08/2020,5275.0,5050.0,5350.0,5025.0,74730000.0,4.46%
07/07/2020,5050.0,5125.0,5150.0,5050.0,40220000.0,-0.49%
07/06/2020,5075.0,5000.0,5150.0,5000.0,45010000.0,1.50%
07/03/2020,5000.0,4960.0,5075.0,4900.0,28920000.0,0.00%
07/02/2020,5000.0,4980.0,5025.0,4960.0,40300000.0,0.20%
07/01/2020,4990.0,5000.0,5025.0,4910.0,33870000.0,0.81%
06/30/2020,4950.0,5025.0,5050.0,4950.0,57000000.0,0.20%
06/29/2020,4940.0,4980.0,5000.0,4870.0,49560000.0,-1.20%
06/26/2020,5000.0,5125.0,5150.0,4980.0,42910000.0,-0.50%
06/25/2020,5025.0,5075.0,5200.0,4940.0,73060000.0,-2.43%
06/24/2020,5150.0,4890.0,5200.0,4890.0,139210000.0,7.52%
06/23/2020,4790.0,4850.0,4850.0,4690.0,47510000.0,-0.42%
06/22/2020,4810.0,4880.0,4910.0,4800.0,33409999.999999996,-1.43%
06/19/2020,4880.0,4880.0,4950.0,4820.0,63180000.0,1.24%
06/18/2020,4820.0,4840.0,4970.0,4780.0,76090000.0,-1.63%
06/17/2020,4900.0,5100.0,5200.0,4890.0,106970000.0,-2.49%
06/16/2020,5025.0,4820.0,5050.0,4820.0,73060000.0,6.46%
06/15/2020,4720.0,4850.0,4910.0,4690.0,84910000.0,-3.48%
06/12/2020,4890.0,4590.0,4900.0,4430.0,144980000.0,4.26%
06/11/2020,4690.0,4800.0,4870.0,4570.0,182390000.0,-4.48%
